fish_id,sex,length,gut_length,Gap,raker_length,Comp1,Comp2,Comp3,Station,basin,tanypodinae,orthocladinae,chironominii,tanytarsini,unknown larvae,adult_fly,Alona rectangula,Alona affinis/quad,Unknown alona,alonella nana,macrothrix hirsuticornix,acroperus harpae,daphnia longispina,resting eggs,Copepods_adult,Copepods_nauplii,ostracod,snail,bivalve,stickleback_eggs,chrinominae,alona,copepods,other_cladocerans,mollusks,Site,gut_length_res,Gap_res,raker_length_res,length_z,gut_length_z,Gap_z,raker_length_z,Comp1_z,Comp2_z,Comp3_z
RG210269,F,61,40,0.259,1.404,-0.0328475775884754,0.0778330116640848,-0.0229827586245812,Lake,South,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lake/South,7.912833647014241,0.04068584553464793,0.017407532640951115,0.6775503069509249,1.4061756706042692,0.8623818615268045,0.09397493406970811,-0.596978802895671,1.6935729174143437,-0.936489731970304
RG210270,F,58,34,0.122,1.0955,0.102290415425668,0.00187380420993014,0.0141188759965092,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,3.9835408194930775,-0.08427904571143778,-0.2162075314990727,0.3202754863914782,0.7079079926498646,-1.7863883464444092,-1.1672009432400265,1.9240984089511666,0.023612630238173782,0.5401969438344663
RG210271,M,53,23,0.175,0.9275,-0.0283946265310326,-0.0242644583322364,-0.00513338179925944,Lake,South,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Lake/South,-3.565280559708864,-0.011220531121580593,-0.259399305065779,-0.2751825478742664,-0.6335797017333596,-0.2378316682077491,-1.4003726486738193,-0.5139064323061995,-0.5510360777219181,-0.22606451220416618
RG210272,F,65,29,0.291,1.4295,0.0436181670415648,-0.179565659187147,0.0191179542601131,Lake,South,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Lake/South,-5.848109249624205,0.05663903386276213,-0.05693904850568374,1.1539167343635206,-1.0392571501816312,1.2005274762214966,-0.3073866606876677,0.8295337712071449,-3.965327072464062,0.73916586632428
RG210273,F,54,30,0.144,1.0795,0.0582128089451642,0.00988796809911382,-0.0127088795617828,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,2.744483716131524,-0.04623223403955203,-0.1323609503524378,-0.15609094102111748,0.48771734654752275,-0.9799437502071515,-0.7145533970456267,1.101805234602184,0.19980371856588716,-0.5275778207889059
RG210274,F,73,36,0.276,2.0260000000000002,-0.0210497473795354,-0.0624400277939391,0.0429265630685584,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,-4.369995042901096,0.009545410518990674,0.3398677892010467,2.106649589188712,-0.77658408910283,0.20232561924747405,1.8347834665235314,-0.3768834749601439,-1.3903245205332302,1.686775203646949
RG210275,M,61,32,0.258,1.5234999999999999,-0.0771973330574917,0.0294530481585948,0.0183486818168372,Lake,South,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lake/South,-0.08716635298575712,0.03968584553464793,0.136907532640951,0.6775503069509249,-0.015490178402793101,0.8411857465095461,0.7390982179354288,-1.4243490736101014,0.6299412596200828,0.7085479601686424
RG210276,F,51,40,0.106,1.065,0.0632861640584554,0.0490019866135667,-0.00379352219307803,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,14.81519088861036,-0.07219712528563771,-0.07197601449246159,-0.5133657615805642,2.6327813666072433,-1.5302985714697879,-0.38856404040956966,1.1964516007235637,1.0597239281130062,-0.17273659692216917
RG210277,F,58,41,0.15,1.1495,0.0661131340831712,-0.00469688474963718,-4.9592825176182e-4,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,10.983540819493077,-0.056279045711437777,-0.1622075314990727,0.3202754863914782,1.9518656105310443,-1.1928971259611754,-0.875680798229575,1.2491903572266234,-0.12084371665679587,-0.04148865905939607
RG210278,M,53,24,0.252,1.401,-0.00298054448586821,0.0150092717427845,-0.0106205374086057,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,-2.565280559708864,0.06577946887841941,0.21410069493422104,-0.2751825478742664,-0.4558714706074768,1.394269188121144,1.1558271413715289,-0.03979207205101774,0.3123953844105112,-0.44445946054380053
